Date,Day,Month,Temp max 2021,Temp min 2021,Temp max 2022,Temp min 2022
2024-09-01,1,Sep,26.11111111,19.44444444,27.77777778,17.22222222
2024-09-02,2,Sep,20,13.88888889,30,11.66666667
2024-09-03,3,Sep,23.88888889,9.444444444,27.77777778,13.88888889
2024-09-04,4,Sep,22.77777778,12.22222222,30,17.77777778
2024-09-05,5,Sep,26.11111111,17.77777778,32.22222222,18.88888889
2024-09-06,6,Sep,22.22222222,15,27.22222222,20
2024-09-07,7,Sep,27.77777778,11.11111111,25,18.33333333
2024-09-08,8,Sep,26.66666667,13.88888889,19.44444444,15
2024-09-09,9,Sep,29.44444444,17.22222222,26.66666667,12.77777778
2024-09-10,10,Sep,23.33333333,13.33333333,27.77777778,11.66666667
2024-09-11,11,Sep,27.77777778,9.444444444,27.22222222,14.44444444
2024-09-12,12,Sep,28.88888889,21.11111111,19.44444444,17.77777778
2024-09-13,13,Sep,27.22222222,16.66666667,27.22222222,18.33333333
2024-09-14,14,Sep,27.77777778,16.11111111,25.55555556,12.77777778
2024-09-15,15,Sep,29.44444444,17.77777778,25,14.44444444
2024-09-16,16,Sep,30.55555556,17.77777778,22.77777778,7.777777778
2024-09-17,17,Sep,25.55555556,18.33333333,26.66666667,8.888888889
2024-09-18,18,Sep,25,20,28.33333333,15
2024-09-19,19,Sep,30.55555556,20,28.33333333,8.888888889
2024-09-20,20,Sep,26.11111111,10,27.77777778,15.55555556
2024-09-21,21,Sep,25,10.55555556,25.55555556,11.11111111
2024-09-22,22,Sep,26.11111111,12.22222222,27.22222222,12.22222222
2024-09-23,23,Sep,26.11111111,20.55555556,20.55555556,8.333333333
2024-09-24,24,Sep,22.77777778,7.777777778,17.22222222,6.666666667
2024-09-25,25,Sep,21.66666667,8.888888889,20,8.888888889
2024-09-26,26,Sep,24.44444444,9.444444444,17.77777778,8.888888889
2024-09-27,27,Sep,22.77777778,11.66666667,21.66666667,7.222222222
2024-09-28,28,Sep,26.11111111,11.66666667,19.44444444,6.111111111
2024-09-29,29,Sep,22.22222222,10,19.44444444,7.777777778
2024-09-30,30,Sep,20,8.888888889,18.33333333,6.111111111
01-Oct,31,Oct,18.33333333,4.444444444,15,7.777777778
02-Oct,32,Oct,20,5.555555556,14.44444444,10
03-Oct,33,Oct,25,7.777777778,12.77777778,6.666666667
04-Oct,34,Oct,27.77777778,10,10,6.666666667
05-Oct,35,Oct,25.55555556,15,11.11111111,6.666666667
06-Oct,36,Oct,18.88888889,15,16.66666667,6.111111111
07-Oct,37,Oct,21.11111111,16.11111111,23.88888889,7.222222222
08-Oct,38,Oct,22.22222222,12.77777778,22.22222222,4.444444444
09-Oct,39,Oct,26.11111111,13.88888889,13.33333333,1.111111111
10-Oct,40,Oct,20.55555556,17.22222222,15.55555556,1.111111111
11-Oct,41,Oct,18.88888889,16.66666667,19.44444444,3.333333333
12-Oct,42,Oct,21.11111111,13.88888889,21.66666667,3.333333333
13-Oct,43,Oct,18.88888889,13.88888889,20.55555556,3.333333333
14-Oct,44,Oct,19.44444444,12.77777778,17.77777778,9.444444444
15-Oct,45,Oct,24.44444444,12.22222222,18.88888889,2.222222222
16-Oct,46,Oct,27.22222222,12.22222222,21.66666667,4.444444444
17-Oct,47,Oct,21.11111111,17.22222222,18.88888889,6.111111111
18-Oct,48,Oct,18.88888889,7.222222222,16.11111111,0
19-Oct,49,Oct,15,6.666666667,11.11111111,-1.111111111
20-Oct,50,Oct,20,7.222222222,10,-1.111111111
21-Oct,51,Oct,23.33333333,6.666666667,14.44444444,-1.666666667
22-Oct,52,Oct,23.88888889,6.666666667,16.66666667,-1.666666667
23-Oct,53,Oct,17.77777778,11.11111111,20.55555556,1.111111111
24-Oct,54,Oct,15.55555556,7.777777778,16.11111111,6.666666667
25-Oct,55,Oct,15.55555556,4.444444444,14.44444444,11.11111111
26-Oct,56,Oct,23.33333333,8.888888889,18.33333333,13.88888889
27-Oct,57,Oct,17.77777778,7.777777778,18.88888889,10
28-Oct,58,Oct,18.88888889,3.888888889,16.11111111,0
29-Oct,59,Oct,16.66666667,3.888888889,13.33333333,-2.222222222
30-Oct,60,Oct,23.33333333,9.444444444,15,-2.777777778
31-Oct,61,Oct,18.33333333,11.66666667,16.11111111,-1.666666667
01-Nov,62,Nov,17.77777778,7.777777778,15.55555556,5.555555556
02-Nov,63,Nov,13.88888889,2.777777778,20,8.333333333
03-Nov,64,Nov,8.333333333,-2.777777778,20,2.222222222
04-Nov,65,Nov,9.444444444,-3.888888889,20.55555556,1.666666667
05-Nov,66,Nov,10,-4.444444444,22.22222222,3.333333333
06-Nov,67,Nov,12.22222222,-4.444444444,23.33333333,17.22222222
07-Nov,68,Nov,12.77777778,-2.777777778,21.11111111,17.77777778
08-Nov,69,Nov,14.44444444,-3.333333333,22.77777778,5.555555556
09-Nov,70,Nov,20,1.111111111,13.88888889,-1.111111111
10-Nov,71,Nov,20,3.888888889,12.77777778,-1.666666667
11-Nov,72,Nov,15,1.111111111,18.88888889,0
12-Nov,73,Nov,17.22222222,2.222222222,21.11111111,12.22222222
13-Nov,74,Nov,3.888888889,0.555555556,18.88888889,5.555555556
14-Nov,75,Nov,7.222222222,-1.111111111,21.11111111,0
15-Nov,76,Nov,4.444444444,0.555555556,6.666666667,-5
16-Nov,77,Nov,7.777777778,-3.888888889,3.888888889,-3.333333333
17-Nov,78,Nov,8.333333333,-3.888888889,8.888888889,1.111111111
18-Nov,79,Nov,10.55555556,-3.333333333,4.444444444,-1.111111111
19-Nov,80,Nov,21.11111111,0.555555556,5,-5.555555556
20-Nov,81,Nov,7.777777778,1.111111111,4.444444444,-5.555555556
21-Nov,82,Nov,8.333333333,-3.333333333,0,-7.222222222
22-Nov,83,Nov,12.22222222,2.777777778,5.555555556,-6.111111111
23-Nov,84,Nov,8.333333333,-3.888888889,11.11111111,-5.555555556
24-Nov,85,Nov,5.555555556,-5.555555556,8.333333333,-6.111111111
25-Nov,86,Nov,7.777777778,-3.888888889,11.11111111,-7.777777778
26-Nov,87,Nov,12.77777778,-1.666666667,12.77777778,-5.555555556
27-Nov,88,Nov,6.666666667,-0.555555556,12.77777778,-0.555555556
28-Nov,89,Nov,5.555555556,-0.555555556,13.33333333,1.111111111
29-Nov,90,Nov,6.111111111,-2.777777778,13.33333333,-5.555555556
30-Nov,91,Nov,5,-3.888888889,7.222222222,-2.222222222
